learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
360000.0,9.296875,0.0,1000.0,0.06561120272017873,0.117113789191331,360000.0,0.0,2585.0,1293.0,1293.0,22.0,0.0,0.0,1.0
370000.0,9.578125,0.0,1000.0,0.06472825235290594,0.11525098696218744,370000.0,0.0,2661.0,1331.0,1331.0,22.0,0.0,0.0,1.0
380000.0,9.859375,0.0,1000.0,0.05878220182169514,0.10611879821896845,380000.0,0.0,2709.0,1355.0,1355.0,22.0,0.0,0.0,1.0
390000.0,10.15625,0.0,1000.0,0.06257911792766988,0.10833685250227601,390000.0,0.0,2777.0,1389.0,1389.0,22.0,0.0,0.0,1.0
400000.0,10.453125,0.0,1000.0,0.06184628922484622,0.11189118581853308,400000.0,0.0,2865.0,1433.0,1433.0,22.0,0.0,0.0,1.0
410000.0,10.75,0.0,1000.0,0.06392792092568493,0.11056444651607564,410000.0,0.0,2927.0,1464.0,1464.0,23.0,0.0,0.0,1.0
420000.0,11.03125,0.0,1000.0,0.059452698332043113,0.10474426159947073,420000.0,0.0,3001.0,1501.0,1501.0,23.0,0.0,0.0,1.0
430000.0,11.328125,0.0,1000.0,0.06190349028425148,0.1130938247224034,430000.0,0.0,3067.0,1534.0,1534.0,23.0,0.0,0.0,1.0
440000.0,11.640625,0.0,1000.0,0.059829763348240285,0.10153567749847048,440000.0,0.0,3145.0,1573.0,1573.0,23.0,0.0,0.0,1.0
450000.0,11.9375,0.0,1000.0,0.05897546739335494,0.10408842653252968,450000.0,0.0,3201.0,1601.0,1601.0,23.0,0.0,0.0,1.0
460000.0,12.265625,0.0,1000.0,0.058218956702683795,0.10887464810402189,460000.0,0.0,3269.0,1635.0,1635.0,23.0,0.0,0.0,1.0
470000.0,12.578125,0.0,1000.0,0.05692985962210661,0.09915945382219057,470000.0,0.0,3355.0,1678.0,1678.0,23.0,0.0,0.0,1.0
480000.0,12.890625,0.0,1000.0,0.06295008287529691,0.10881993154644136,480000.0,0.0,3423.0,1712.0,1712.0,23.0,0.0,0.0,1.0
490000.0,13.21875,0.0,1000.0,0.05576488427112615,0.10149175074815155,490000.0,0.0,3483.0,1742.0,1742.0,23.0,0.0,0.0,1.0
500000.0,13.546875,0.0,1000.0,0.05861588941891036,0.1027118648564913,500000.0,0.0,3565.0,1783.0,1783.0,23.0,0.0,0.0,1.0
510000.0,13.875,0.0,1000.0,0.061480782366932565,0.11046477864285818,510000.0,0.0,3643.0,1822.0,1822.0,23.0,0.0,0.0,1.0
520000.0,14.203125,0.0,1000.0,0.05671076716600493,0.10415739845095584,520000.0,0.0,3723.0,1862.0,1862.0,23.0,0.0,0.0,1.0
530000.0,14.53125,0.0,1000.0,0.059883328901983245,0.11110149702689615,530000.0,0.0,3787.0,1894.0,1894.0,23.0,0.0,0.0,1.0
540000.0,14.859375,0.0,1000.0,0.056109861767576645,0.1032131106719717,540000.0,0.0,3853.0,1927.0,1927.0,23.0,0.0,0.0,1.0
550000.0,15.203125,0.0,1000.0,0.05632253913979508,0.10203923579858794,550000.0,0.0,3919.0,1960.0,1960.0,23.0,0.0,0.0,1.0
560000.0,15.546875,0.0,1000.0,0.05501145281039037,0.09798278389947579,560000.0,0.0,3979.0,1990.0,1990.0,23.0,0.0,0.0,1.0
570000.0,15.890625,0.0,1000.0,0.05923364434739763,0.1052252762098452,570000.0,0.0,4051.0,2026.0,2026.0,23.0,0.0,0.0,1.0
580000.0,16.234375,0.0,1000.0,0.05712215736737641,0.10068381863223688,580000.0,0.0,4131.0,2066.0,2066.0,24.0,0.0,0.0,1.0
590000.0,16.59375,0.0,1000.0,0.057614330764422544,0.10321482627281564,590000.0,0.0,4205.0,2103.0,2103.0,24.0,0.0,0.0,1.0
600000.0,16.921875,0.0,1000.0,0.0586556857713685,0.11119919365927053,600000.0,0.0,4263.0,2132.0,2132.0,24.0,0.0,0.0,1.0
610000.0,17.296875,0.0,1000.0,0.06472589576401387,0.11173731930213568,610000.0,0.0,4351.0,2176.0,2176.0,24.0,0.0,0.0,1.0
620000.0,17.65625,0.0,1000.0,0.05838447580696612,0.11007302742590595,620000.0,0.0,4437.0,2219.0,2219.0,24.0,0.0,0.0,1.0
630000.0,18.015625,0.0,1000.0,0.06057579759392148,0.11492882345888979,630000.0,0.0,4499.0,2250.0,2250.0,24.0,0.0,0.0,1.0
640000.0,18.375,0.0,1000.0,0.055952977248723605,0.09328319660608689,640000.0,0.0,4571.0,2286.0,2286.0,24.0,0.0,0.0,1.0
650000.0,18.75,0.0,1000.0,0.06004111213804397,0.10829817334952581,650000.0,0.0,4623.0,2312.0,2312.0,24.0,0.0,0.0,1.0
660000.0,19.09375,0.0,1000.0,0.05689714150861795,0.09965033162659688,660000.0,0.0,4707.0,2354.0,2354.0,24.0,0.0,0.0,1.0
670000.0,19.453125,0.0,1000.0,0.05343987769101601,0.09452138107074265,670000.0,0.0,4755.0,2378.0,2378.0,24.0,0.0,0.0,1.0
680000.0,19.84375,0.0,1000.0,0.06089829947294251,0.10887648247785447,680000.0,0.0,4815.0,2408.0,2408.0,24.0,0.0,0.0,1.0
690000.0,20.21875,0.0,1000.0,0.055574893542576,0.09914608316578752,690000.0,0.0,4879.0,2440.0,2440.0,24.0,0.0,0.0,1.0
700000.0,20.609375,0.0,1000.0,0.05438919610048998,0.0985109188527886,700000.0,0.0,4941.0,2471.0,2471.0,24.0,0.0,0.0,1.0
710000.0,20.984375,0.0,1000.0,0.05715586841620761,0.10715727567553601,710000.0,0.0,5007.0,2504.0,2504.0,24.0,0.0,0.0,1.0
720000.0,21.375,0.0,1000.0,0.05046593810757851,0.09103961029666492,720000.0,0.0,5097.0,2549.0,2549.0,24.0,0.0,0.0,1.0
730000.0,21.765625,0.0,1000.0,0.0575390567325005,0.10765811093587783,730000.0,0.0,5169.0,2585.0,2585.0,24.0,0.0,0.0,1.0
740000.0,22.15625,0.0,1000.0,0.05573380100100846,0.09912754078616855,740000.0,0.0,5235.0,2618.0,2618.0,24.0,0.0,0.0,1.0
750000.0,22.5625,0.0,1000.0,0.05496429846092414,0.09576463850474193,750000.0,0.0,5313.0,2657.0,2657.0,24.0,0.0,0.0,1.0
760000.0,23.0,0.0,1000.0,0.05151774501859623,0.09782208275181997,760000.0,0.0,5391.0,2696.0,2696.0,24.0,0.0,0.0,1.0
770000.0,23.375,0.0,1000.0,0.06297233086309886,0.11474647652451751,770000.0,0.0,5463.0,2732.0,2732.0,24.0,0.0,0.0,1.0
780000.0,23.78125,0.0,1000.0,0.057492825223877636,0.09760567931430048,780000.0,0.0,5543.0,2772.0,2772.0,24.0,0.0,0.0,1.0
790000.0,24.203125,0.0,1000.0,0.0596390384284487,0.10830892230112432,790000.0,0.0,5625.0,2813.0,2813.0,24.0,0.0,0.0,1.0
800000.0,24.609375,0.0,1000.0,0.05150120081496733,0.09018697842520902,800000.0,0.0,5683.0,2842.0,2842.0,24.0,0.0,0.0,1.0
810000.0,25.03125,0.0,1000.0,0.05441140583829537,0.09845642245807786,810000.0,0.0,5743.0,2872.0,2872.0,24.0,0.0,0.0,1.0
820000.0,25.4375,0.0,1000.0,0.05485465516620857,0.10145138611592967,820000.0,0.0,5805.0,2903.0,2903.0,25.0,0.0,0.0,1.0
830000.0,25.84375,0.0,1000.0,0.053445938434463526,0.0957056747894059,830000.0,0.0,5869.0,2935.0,2935.0,25.0,0.0,0.0,1.0
840000.0,26.265625,0.0,1000.0,0.05578440581459056,0.10442851767934615,840000.0,0.0,5963.0,2982.0,2982.0,25.0,0.0,0.0,1.0
850000.0,26.703125,0.0,1000.0,0.05363316108371079,0.09565867588346649,850000.0,0.0,6051.0,3026.0,3026.0,25.0,0.0,0.0,1.0
860000.0,27.125,0.0,1000.0,0.052740360015972654,0.09811302563973377,860000.0,0.0,6125.0,3063.0,3063.0,25.0,0.0,0.0,1.0
870000.0,27.546875,0.0,1000.0,0.052464897218561936,0.08974920447702789,870000.0,0.0,6183.0,3092.0,3092.0,25.0,0.0,0.0,1.0
880000.0,27.984375,0.0,1000.0,0.050208320544057015,0.08945821136731606,880000.0,0.0,6257.0,3129.0,3129.0,25.0,0.0,0.0,1.0
890000.0,28.421875,0.0,1000.0,0.05542615114066902,0.10091014958572148,890000.0,0.0,6325.0,3163.0,3163.0,25.0,0.0,0.0,1.0
900000.0,28.84375,0.0,1000.0,0.05115641002218168,0.09243504330940845,900000.0,0.0,6395.0,3198.0,3198.0,25.0,0.0,0.0,1.0
910000.0,29.28125,0.0,1000.0,0.05320122269953269,0.09463238699658387,910000.0,0.0,6439.0,3220.0,3220.0,25.0,0.0,0.0,1.0
920000.0,29.71875,0.0,1000.0,0.058347950719052424,0.10861258124605704,920000.0,0.0,6499.0,3250.0,3250.0,25.0,0.0,0.0,1.0
930000.0,30.171875,0.0,1000.0,0.05205522402870303,0.10059236841151266,930000.0,0.0,6563.0,3282.0,3282.0,25.0,0.0,0.0,1.0
940000.0,30.625,0.0,1000.0,0.05518092043738002,0.09819136768438202,940000.0,0.0,6641.0,3321.0,3321.0,25.0,0.0,0.0,1.0
950000.0,31.078125,0.0,1000.0,0.05484223639138396,0.10186907776101323,950000.0,0.0,6707.0,3354.0,3354.0,25.0,0.0,0.0,1.0
960000.0,31.546875,0.0,1000.0,0.05121193810218128,0.08865729600414236,960000.0,0.0,6761.0,3381.0,3381.0,25.0,0.0,0.0,1.0
970000.0,32.046875,0.0,1000.0,0.051654213891834666,0.09327031831420904,970000.0,0.0,6833.0,3417.0,3417.0,25.0,0.0,0.0,1.0
980000.0,32.5625,0.0,1000.0,0.05144560682568176,0.0947310133847906,980000.0,0.0,6905.0,3453.0,3453.0,25.0,0.0,0.0,1.0
990000.0,33.0625,0.0,1000.0,0.05270120097427832,0.09662715204605125,990000.0,0.0,6985.0,3493.0,3493.0,25.0,0.0,0.0,1.0
1000000.0,33.515625,0.0,1000.0,0.051556504289522846,0.08825536940223129,1000000.0,0.0,7059.0,3530.0,3530.0,25.0,0.0,0.0,1.0
1010000.0,34.015625,0.0,1000.0,0.05357681715639292,0.10225073839907357,1010000.0,0.0,7121.0,3561.0,3561.0,25.0,0.0,0.0,1.0
1020000.0,34.5,0.0,1000.0,0.04941212046255638,0.08771532267210452,1020000.0,0.0,7171.0,3586.0,3586.0,25.0,0.0,0.0,1.0
1030000.0,34.953125,0.0,1000.0,0.05024383658598124,0.09179247205268685,1030000.0,0.0,7235.0,3618.0,3618.0,25.0,0.0,0.0,1.0
1040000.0,35.4375,0.0,1000.0,0.05071730659162456,0.0895356976519007,1040000.0,0.0,7295.0,3648.0,3648.0,25.0,0.0,0.0,1.0
1050000.0,35.90625,0.0,1000.0,0.053344353148882764,0.09485004345696245,1050000.0,0.0,7371.0,3686.0,3686.0,25.0,0.0,0.0,1.0
1060000.0,36.390625,0.0,1000.0,0.050287059329259885,0.0885656673872558,1060000.0,0.0,7423.0,3712.0,3712.0,25.0,0.0,0.0,1.0
1070000.0,36.875,0.0,1000.0,0.05293974013806878,0.09565389279265547,1070000.0,0.0,7487.0,3744.0,3744.0,25.0,0.0,0.0,1.0
1080000.0,37.359375,0.0,1000.0,0.052955024357616405,0.09683888439149727,1080000.0,0.0,7563.0,3782.0,3782.0,25.0,0.0,0.0,1.0
1090000.0,37.84375,0.0,1000.0,0.050677463093559603,0.09127732045126213,1090000.0,0.0,7653.0,3827.0,3827.0,25.0,0.0,0.0,1.0
1100000.0,38.359375,0.0,1000.0,0.050696141931915024,0.09327096334866863,1100000.0,0.0,7741.0,3871.0,3871.0,25.0,0.0,0.0,1.0
